"Source"	"Targets"	"Weight"
"P01"	"P18"	"1"
"P01"	"P06"	"1"
"P01"	"P05"	"1"
"P01"	"P07"	"1"
"P02"	"P17"	"3"
"P02"	"P20"	"1"
"P02"	"P06"	"1"
"P02"	"P08"	"1"
"P03"	"P04"	"2"
"P03"	"P07"	"1"
"P03"	"P29"	"1"
"P03"	"P08"	"1"
"P04"	"P11"	"2"
"P04"	"P19"	"1"
"P04"	"P05"	"1"
"P05"	"P10"	"2"
"P05"	"P11"	"1"
"P06"	"P08"	"1"
"P06"	"P07"	"1"
"P06"	"P09"	"3"
"P06"	"P12"	"1"
"P07"	"P13"	"1"
"P07"	"P19"	"1"
"P07"	"P25"	"1"
"P07"	"P12"	"1"
"P09"	"P10"	"2"
"P09"	"P16"	"1"
"P09"	"P13"	"1"
"P10"	"P12"	"1"
"P10"	"P13"	"1"
"P10"	"P15"	"1"
"P10"	"P16"	"1"
"P13"	"P16"	"1"
"P13"	"P25"	"1"
"P13"	"P26"	"1"
"P14"	"P34"	"1"
"P14"	"P15"	"2"
"P15"	"P29"	"1"
"P21"	"P28"	"1"
"P21"	"P34"	"1"
"P22"	"P23"	"2"
"P22"	"P24"	"1"
"P22"	"P31"	"3"
"P25"	"P28"	"3"
"P26"	"P28"	"1"
"P27"	"P28"	"1"
"P27"	"P35"	"1"
"P27"	"P32"	"2"
"P29"	"P30"	"1"
"P32"	"P33"	"1"
"P32"	"P36"	"1"
"P35"	"P36"	"1"
"P08"	"P21"	"1"
"P17"	"P21"	"1"
"P17"	"P35"	"1"
"P18"	"P31"	"1"
"P18"	"P21"	"1"
"P18"	"P19"	"1"
"P19"	"P35"	"1"
"P19"	"P31"	"1"
"P20"	"P26"	"1"
"P20"	"P23"	"1"
"P20"	"P29"	"1"
"P20"	"P35"	"1"
"P23"	"P26"	"2"
"P23"	"P32"	"1"
"P24"	"P31"	"1"
"P24"	"P36"	"1"
"P24"	"P30"	"1"
"P28"	"P29"	"1"
"P30"	"P31"	"1"
"P30"	"P36"	"1"
"P33"	"P34"	"3"
"P33"	"P36"	"2"
"P12"	"P16"	"1"
"P11"	"P14"	"1"
