Source	Targets	Weight
P01	P18	1
P01	P06	1
P01	P10	1
P01	P14	1
P01	P09	1
P02	P17	3
P02	P20	2
P02	P08	1
P02	P12	1
P03	P04	2
P03	P07	1
P03	P15	1
P03	P08	1
P05	P10	2
P05	P13	1
P05	P17	1
P06	P08	2
P06	P07	1
P06	P23	1
P07	P13	2
P07	P21	1
P07	P32	1
P09	P10	1
P09	P16	1
P09	P26	1
P09	P27	1
P09	P13	1
P10	P12	4
P10	P13	1
P11	P35	1
P11	P21	1
P11	P36	1
P11	P13	1
P11	P14	1
P12	P19	1
P13	P16	1
P13	P28	1
P14	P34	1
P14	P15	2
P15	P35	1
P15	P16	1
P21	P28	1
P21	P23	2
P21	P36	1
P22	P31	3
P22	P23	1
P23	P36	1
P23	P26	1
P23	P32	1
P24	P36	2
P24	P30	2
P24	P35	1
P25	P28	2
P25	P26	1
P26	P27	1
P26	P36	1
P27	P28	1
P27	P35	1
P27	P32	1
P29	P30	1
P29	P36	1
P32	P33	1
P32	P36	1
P04	P20	1
P04	P33	1
P08	P17	1
P16	P28	1
P16	P33	1
P18	P31	1
P18	P30	1
P18	P19	1
P19	P24	1
P19	P21	1
P20	P26	1
P20	P25	1
P20	P35	1
P28	P29	2
P30	P31	1
P30	P35	1
P33	P34	3
P17	P31	1
P34	P36	1
