sample_id	tai	cna	base_segments	break_points	fga
P149774	0.381111404109674	8	176015602	20	0.0612610997539909
P149985	0.285393845684756	3	187897457	24	0.0653464912975736
P153403	0.5929822828	0	33327428	2	0.0115993972582723
P153537	0.370821369832095	23	1049829771	80	0.365386508895617
P154325	0.518003895914981	38	1377244915	108	0.479341246825902
P155534	0.598161540328138	32	625924089	92	0.216898262154414
P157632	0.797983165563839	13	59474622	36	0.0206997601904228
P158276	0.426531955364806	2	242256229	12	0.084315724527617
P158665	0.313320792456056	2	441986731	26	0.153830642909322
P158785	0.508914410994935	31	896517740	82	0.2590985998304
P160100	0.328981405257315	22	329843343	66	0.114799856996273
P160971	0.422009379892615	75	1338385767	242	0.44879892077506
P161515	0.509587874765974	12	264539164	40	0.09207115693438
P161809	0.362975395762242	7	182936771	32	0.0473726700070894
P161865	0.477637513279335	8	201379002	30	0.070088668218634
P164398	0.299623609689873	18	504785249	94	0.128986710095572
P164921	0.685890527181149	9	62973719	30	0.021381691368306
P165114	0.63166453783694	30	454706812	82	0.158257785402178
P165970	0.352634024680248	17	2763260483	82	0.908806399792998
P169026	0.303882086013179	3	160853537	22	0.0559840404144359
P170008	0.384365685060534	63	1318959703	232	0.459055453146575
P170055	0.554350399529228	22	472195657	64	0.16434466557617
P170561	0.438353821214901	1	104553707	8	0.0363892461883949
P172017	0.74927180829678	60	886451610	156	0.308523789313267
P172390	0.308595955088805	1	348624306	8	0.121336450541082
P172496	0.410890790796924	4	228119355	26	0.0793954763309622
P174092	0.521290007414886	77	1826826459	250	0.582915150013268
P176973	0.440763112871681	24	1360084279	106	0.456501491627239
P177793	0.698679774261759	8	128053761	22	0.0445682890457331
P179186	0.523281097606709	26	920237604	66	0.320282787522538
P179980	0.373413824224591	34	976044911	100	0.315468185517422
P181568	0.534846261418568	9	250382628	24	0.0871440655049113
P182545	0.580168305509834	83	967357441	206	0.323458465200475
P184022	0.522453319123092	8	181475706	24	0.0631614538817526
P184521	0.568458979043287	1	131682808	8	0.0458313555452524
P186330	0.384628357679928	12	407946254	46	0.124075187351396
