sy	wilcox_p	wilcox_p2	log2foldchange	lab	show
DDX11L1	0.293185633196484	0.29	1.7382283301921	no	no
WASH7P	0.00245646307567908	0.0025	1.04721266312135	up	no
MIR6859-1	0.00285095583064387	0.0029	1.32366333289513	up	no
MIR1302-2HG	0.000179281743469251	0.00018	1.62429624280437	up	no
FAM138A	0.255045731671066	0.26	-0.380488874986055	no	no
OR4G4P	0.765084001834143	0.77	-0.00207787716345563	no	no
OR4G11P	0.485661089668837	0.49	0.0833906018143599	no	no
OR4F5	0.872600060989729	0.87	0.0122192968456725	no	no
RP11-34P13.7	0.541306490899864	0.54	0.425766461599411	no	no
CICP27	0.0307115426650839	0.031	-0.308765281332055	no	no
RP11-34P13.15	0.0886668828144011	0.089	-1.30103834087386	no	no
RP11-34P13.16	0.588340661603107	0.59	-0.887490611232724	no	no
RP11-34P13.14	0.301930704655325	0.3	-0.552247366516194	no	no
RP11-34P13.13	0.0537873573650558	0.054	0.665659239126185	no	no
DDX11L17	0.466096542912569	0.47	0.686788832793492	no	no
WASH9P	0.00150838709737628	0.0015	1.03883307047171	up	no
MIR6859-2	0.406520982090715	0.41	1.68559602377072	no	no
AP006222.1	0.223368073144892	0.22	1.06476993600704	no	no
AP006222.3	0.930288570115691	0.93	1.57061816013617	no	no
RPL23AP24	0.896905210090825	0.9	0.455861595555509	no	no
RP4-669L17.2	0.288175633383966	0.29	0.0999046936485661	no	no
RP4-669L17.4	0.130458997298106	0.13	0.474432211942733	no	no
OR4F29	0.288175633383966	0.29	0.150212457578734	no	no
CICP7	0.401735637055398	0.4	-0.0470970815010619	no	no
RP4-669L17.8	0.133155326971893	0.13	0.290349795281171	no	no
U6	0.645981001479234	0.65	0.154987083808616	no	no
RP11-206L10.17	0.774464575034054	0.77	0.370215722728713	no	no
RP5-857K21.2	0.288175633383966	0.29	0.195849706347199	no	no
MTND1P23	0.21141866041769	0.21	-0.396501085009896	no	no
MTND2P28	0.27583307256317	0.28	-1.03825436941916	no	no
MTCO1P12	0.0303830303346674	0.03	-1.44816597848443	down	no
MTCO2P12	0.0667298552382576	0.067	-0.328306211855057	no	no
MTATP8P1	0.0949499508961713	0.095	-0.402865285731283	no	no
MTATP6P1	0.0575222939964668	0.058	-0.504756678015904	no	no
MTCO3P12	0.123606939257179	0.12	-0.339617555209891	no	no
WBP1LP6	0.288175633383966	0.29	0.324869760015483	no	no
CICP3	0.0279665635270197	0.028	0.473473058120948	no	no
RP11-206L10.2	0.00671173841875019	0.0067	0.889443900465888	no	no
RP11-206L10.4	0.288175633383966	0.29	0.377913810741269	no	no
LINC01409	0.00913960329281132	0.0091	0.764542553221807	no	no
RP11-206L10.8	0.797893883198657	0.8	0.416489430566811	no	no
FAM87B	0.774464575034054	0.77	-0.0747332955680708	no	no
LINC01128	0.101574807936807	0.1	0.338385838692512	no	no
LINC00115	0.0456621220209066	0.046	0.825395070001384	no	no
RP11-206L10.19	0.360503155903172	0.36	0.460933618848656	no	no
FAM41C	0.0485153799519704	0.049	0.528498065075288	no	no
TUBB8P11	0.606634470081327	0.61	-0.0901948774122069	no	no
FAM166AP3	0.213954526479435	0.21	-0.300728802825031	no	no
RP11-54O7.16	0.000541646843787191	0.00054	2.98508484486704	up	no
RP11-54O7.1	0.0242874905418774	0.024	1.09025906794354	up	no
RP11-54O7.2	0.00136470698657298	0.0014	2.13073598480282	up	no
LINC02593	0.0064759536825286	0.0065	2.1309694915493	up	no
SAMD11	0.00825722523488441	0.0083	2.2744372046556	up	no
NOC2L	1.36025916304657e-05	1.4e-05	1.17607312215511	up	no
KLHL17	4.99111088029153e-05	5e-05	1.85327596761748	up	no
PLEKHN1	0.279286457080465	0.28	0.294784821953303	no	no
PERM1	0.0114984547539174	0.011	0.827653844304708	no	no
RP11-54O7.17	0.00078863366972633	0.00079	1.57399599035031	up	no
HES4	9.10716539619356e-06	9.1e-06	1.57646128363775	up	no
ISG15	0.290133185157779	0.29	0.818549149237075	no	no
RP11-54O7.10	0.115632720477076	0.12	1.54131150653618	no	no
RP11-54O7.11	0.000134454333267965	0.00013	1.86947584157861	up	no
AGRN	5.93814442108511e-05	5.9e-05	1.39816933515562	up	no
RP11-465B22.3	0.0336077765464808	0.034	0.896771887711312	no	no
RP11-54O7.18	0.656740675441921	0.66	-0.635811265926435	no	no
RNF223	0.981621503364844	0.98	-0.0201902152079363	no	no
C1orf159	0.000453937062672543	0.00045	1.04327014800123	up	no
RP11-465B22.9	0.0462909798987559	0.046	1.26650540593142	up	no
LINC01342	0.876751144104808	0.88	0.319955223738286	no	no
MIR200B	0.765084001834143	0.77	-0.265436523687381	no	no
MIR200A	0.288175633383966	0.29	2.02772133646394	no	no
MIR429	0.748321686929985	0.75	0.813217130804055	no	no
RP11-465B22.8	0.438678333016334	0.44	0.341852418360244	no	no
TTLL10-AS1	0.217520789000001	0.22	-0.226762514458961	no	no
TTLL10	1	1	0.532748891076736	no	no
TNFRSF18	0.188885368438666	0.19	0.683659401858227	no	no
TNFRSF4	0.741302403279195	0.74	0.12077227882431	no	no
SDF4	0.0619885900001061	0.062	0.364787745882725	no	no
B3GALT6	0.00078863366972633	0.00079	0.797605919382104	no	no
C1QTNF12	0.00132963054822808	0.0013	1.44764860092454	up	no
RP5-902P8.12	0.158400563197595	0.16	0.462358972472014	no	no
UBE2J2	0.00603827835733704	0.006	0.674389060512329	no	no
LINC01786	0.0256044710667494	0.026	0.62899485687951	no	no
SCNN1D	0.0667298552382576	0.067	0.475098434555633	no	no
ACAP3	0.000393430256677001	0.00039	1.14039181287128	up	no
PUSL1	0.00276365181218258	0.0028	0.96979147981594	no	no
INTS11	0.000186406381980322	0.00019	0.911025625322267	no	no
RP5-890O3.9	0.000186406381980322	0.00019	1.12784743008734	up	no
CPTP	0.188885368438666	0.19	0.297711239789753	no	no
TAS1R3	0.560414292745471	0.56	0.318350575892096	no	no
DVL1	0.00276365181218258	0.0028	0.742738417924991	no	no
MXRA8	0.887529933525342	0.89	0.0914338716099463	no	no
AURKAIP1	0.320166018066783	0.32	0.448345334389646	no	no
NDUFB4P8	0.0786668031632083	0.079	1.01734727255513	no	no
CCNL2	0.00245646307567908	0.0025	0.974341167244061	no	no
MRPL20-AS1	0.0163410558097465	0.016	0.624340849804262	no	no
MRPL20	0.0456621220209066	0.046	0.408262899112155	no	no
MRPL20-DT	0.000453937062672543	0.00045	1.26531862930455	up	no
ANKRD65	0.987463172778485	0.99	0.101955797534772	no	no
RP4-758J18.7	0.498414930252522	0.5	0.285489622027662	no	no
TMEM88B	0.625832791427982	0.63	-0.0107926324140669	no	no
LINC01770	0.355853232858459	0.36	0.381498975950813	no	no
VWA1	0.560414292745471	0.56	0.186419363679198	no	no
ATAD3C	0.0101025073904858	0.01	-1.14791950056414	down	no
ATAD3B	0.00170826169534595	0.0017	1.05356611068192	up	no
RP5-832C2.8	0.188885368438666	0.19	0.470340092295678	no	no
ATAD3A	1.11515361480512e-05	1.1e-05	1.25407898625389	up	no
TMEM240	0.000522678276590694	0.00052	1.24703510420858	up	no
SSU72	0.00116999639174036	0.0012	0.576383418427517	no	no
RP5-832C2.5	0.00435882668997611	0.0044	0.97846705636177	no	no
