sum	gain	loss	LOH	sum2	group	fra
59	3	1	1	5	Group2	0.0847457627118644
152	61	14	3	78	Group1	0.513157894736842
66	5	19	0	24	Group1	0.363636363636364
54	1	2	0	3	Group2	0.0555555555555556
51	0	0	1	1	Group2	0.0196078431372549
31	0	1	6	7	Group2	0.225806451612903
76	12	5	0	17	Group1	0.223684210526316
83	7	27	0	34	Group1	0.409638554216867
89	19	13	0	32	Group2	0.359550561797753
56	0	11	0	11	Group2	0.196428571428571
43	1	2	0	3	Group1	0.0697674418604651
50	0	0	0	0	Group2	0
78	14	18	3	35	Group1	0.448717948717949
107	9	3	3	15	Group2	0.14018691588785
192	27	25	1	53	Group1	0.276041666666667
53	6	2	0	8	Group2	0.150943396226415
60	5	0	0	5	Group2	0.0833333333333333
56	3	3	0	6	Group2	0.107142857142857
49	10	1	4	15	Group1	0.306122448979592
62	5	4	0	9	Group2	0.145161290322581
124	0	11	0	11	Group2	0.0887096774193548
79	11	24	5	40	Group1	0.506329113924051
62	0	0	2	2	Group2	0.032258064516129
197	32	20	0	52	Group1	0.263959390862944
72	1	22	2	25	Group1	0.347222222222222
134	26	41	7	74	Group1	0.552238805970149
35	0	2	1	3	Group2	0.0857142857142857
79	0	0	0	0	Group2	0
169	25	44	0	69	Group1	0.408284023668639
102	7	13	0	20	Group1	0.196078431372549
39	4	5	0	9	Group2	0.230769230769231
90	10	9	2	21	Group1	0.233333333333333
36	0	4	0	4	Group2	0.111111111111111
30	0	1	2	3	Group2	0.1
29	0	1	0	1	Group1	0.0344827586206897
38	0	9	0	9	Group2	0.236842105263158
