purity	M_ID	final_dec
0.7618694	SPH3_06	SP_group1
0.7625467	SPH3_07	SP_group1
0.7310115	SPH3_10	SP_group1
0.8423618	SPH3_12	SP_group1
0.7145819	SPH3_14	SP_group1
0.7669524	SPH3_20	SP_group1
0.8848765	SPH3_21	SP_group1
0.7034861	SPH3_24	SP_group1
0.6201425	SPH3_25	SP_group1
0.8859132	SPH3_29	SP_group1
0.8026221	SPH3_32	SP_group1
0.458652	SPH3_33	SP_group1
0.8895638	SPH3_36	SP_group1
0.4164181	SPH3_37	SP_group1
0.8094033	SPH3_40	SP_group1
0.8461542	SPH3_44	SP_group1
0.596245	SPH3_03	SP_group2
0.3007257	SPH3_04	SP_group2
0.656113	SPH3_05	SP_group2
0.7670039	SPH3_08	SP_group2
0.4467562	SPH3_09	SP_group2
0.4618978	SPH3_11	SP_group2
0.2836298	SPH3_13	SP_group2
0.1504708	SPH3_15	SP_group2
0.3727524	SPH3_16	SP_group2
0.8137411	SPH3_17	SP_group2
0.2608341	SPH3_18	SP_group2
0.2980518	SPH3_19	SP_group2
0.2676036	SPH3_23	SP_group2
0.7426656	SPH3_27	SP_group2
0.8070739	SPH3_30	SP_group2
0.2178045	SPH3_31	SP_group2
0.7732387	SPH3_34	SP_group2
0.7722726	SPH3_38	SP_group2
0.8241814	SPH3_43	SP_group2
0.5644422	SPH3_45	SP_group2
