cytoband	14q32.33	19q13.42	10q11.22	19p13.2	19p12	17q11.2	5q31.3	17p13.2	1q21.3	16p11.2	17q21.31	11p15.5	21q21.1	7q11.21	14q11.2	17p12	2q11.2	10q26.2	14q24.3	18q23	15q11.2	22q11.1	4p16.3	14q22.1
q value	0.0011396	0.001235	0.0042325	0.006293	0.0064062	0.0068435	0.012783	0.027807	0.034093	0.036118	0.046225	0.051152	0.055421	0.059934	0.08088	0.047651	0.092334	0.11119	0.073154	0.15802	0.17867	0.20867	0.23965	0.17003
residual q value	0.0011627	0.001235	0.0042325	0.006293	0.0064062	0.0068435	0.012783	0.027807	0.034093	0.036118	0.046225	0.050609	0.05475	0.059934	0.08088	0.08088	0.092334	0.11119	0.11375	0.15802	0.17867	0.20768	0.23965	0.23965
wide peak boundaries	chr14:106395694-106747458	chr19:55337666-55593054	chr10:38988081-50828682	chr19:8937247-9213025	chr19:19790179-30017647	chr17:29322729-29631647	chr5:140703140-140898585	chr17:2648233-6934946	chr1:152009388-152819815	chr16:31926800-34405307	chr17:44080808-44850980	chr11:993383-1245561	chr21:18961466-22118018	chr7:57022777-64500498	chr14:20019216-20225713	chr17:8188405-15888407	chr2:97741799-98271411	chr10:98325373-135534747	chr14:72202350-88479742	chr18:77634151-78077248	chr15:1-27218228	chr22:1-17609385	chr4:1-191154276	chr14:1-107349540
genes in wide peak	ADAM6	FCAR	hsa-mir-4294	MBD3L1	hsa-mir-1270-2	NF1	PCDHGC3	hsa-mir-497	FLG	hsa-mir-1826	NSF	MUC2	hsa-mir-548x	hsa-mir-4283-2	OR11H2	hsa-mir-548h-3	COX5B	hsa-mir-202	hsa-mir-1260	TXNL4A	hsa-mir-1268	IL17RA	hsa-mir-1305	hsa-mir-203
	LINC00226	KIR2DS4	hsa-mir-3156-1	MUC16	hsa-mir-1270-1	OMG	PCDHGB4	hsa-mir-1253	TCHH	TP53TG3	LRRC37A	MUC6	TMPRSS15	hsa-mir-3147	OR4Q3	hsa-mir-744	ANKRD36B	hsa-mir-378c	ACYP1	ADNP2	hsa-mir-3118-6	ANKRD62P1-PARP4P3	hsa-mir-4276	hsa-mir-4309
		KIR3DL2	ALOX5	OR1M1	UQCRFS1	MIR4733	PCDHGA8	ALOX12	LCE2B	SLC6A10P	ARL17A		BTG3	hsa-mir-4283-1		ADORA2B	FAHD2B	hsa-mir-4297	ENTPD5	RBFA	hsa-mir-3118-4	POTEH	hsa-mir-548t	hsa-mir-1247
		NCR1	ANXA8L2		ZNF14		PCDHGA12	ALOX12P2	CRNN	LOC390705	KIAA1267		CHODL-AS1	ERV3-1		COX10	ANKRD36	hsa-mir-4296	DIO2	PQLC1	NBEAP1	HSFY1P1	hsa-mir-1979	hsa-mir-656
		GP6	CTSL1P2		ZNF708		PCDHGC5	ALOX15	CRCT1	HERC2P4	LRRC37A2		C21orf91	ZNF138		DNAH9	LOC100506123	hsa-mir-2110	DLST	PARD6G	GABRA5	CECR6	hsa-mir-3140	hsa-mir-370
		NLRP2	ERCC6		ZNF43		PCDHGC4	ARRB2	LCE3D	UBE2MP1	LOC644246		CHODL	ZNF273		MEIS3P1		hsa-mir-4295	ESRRB	HSBP1L1	GABRB3	OR11H1	hsa-mir-548g	hsa-mir-345
		RDH13	GDF2		ZNF85		PCDHGB7	ASPA	TCHHL1	LINC00273	NSFP1		C21orf91-OT1	ZNF117		MYH1		hsa-mir-548e	FOS	LOC100130522	IPW	GAB4	hsa-mir-3139	hsa-mir-342
