,P149774,P149985,P153403,P153537,P154325,P155534,P157632,P158276,P158665,P158785,P160100,P160971,P161515,P161809,P161865,P165970,P164921,P164398,P165114,P169026,P170008,P170055,P172017,P172390,P172496,P174092,P176973,P177793,P186330,P182545,P179186,P179980,P181568,P170561,P184521,P184022
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS,0.488605774409669,0.481533626913471,0.452750261058187,0.495811464986262,0.4614361953234,0.469922556587742,0.500574132570941,0.481620810143284,0.438893716603809,0.502789962784312,0.474118791446406,0.487902929411778,0.488410413524288,0.499279836695948,0.486699525648095,0.439596763046393,0.470207580534117,0.484044361409662,0.479671661082428,0.487696215075126,0.441934473524995,0.482846655618199,0.419881904295285,0.475176682239257,0.482253244939879,0.432780964555012,0.465718925371558,0.476040491267157,0.512879676654538,0.486654503881796,0.45295362452568,0.492663063220423,0.478775124282113,0.497941462945229,0.484698670170843,0.494900535001608
GOBP_2FE_2S_CLUSTER_ASSEMBLY,0.385783926625675,0.415897720686669,0.41597149921684,0.408367548428751,0.395214770951485,0.407284664549898,0.441957649878795,0.403582399169431,0.40973300696985,0.390915268722866,0.421852502576801,0.432309603759688,0.430429775096153,0.435945797276252,0.409438058723042,0.380960377887337,0.429249513254631,0.417647519483739,0.409395350223241,0.438781637810161,0.40658000742589,0.405970580954128,0.398100987910423,0.397388885358997,0.419083356906431,0.413292484302262,0.372511406555096,0.402675137108952,0.411101732078222,0.405278360023876,0.372946927117805,0.39600657148667,0.405362661820381,0.4196274806146,0.421885196600146,0.399258221676153
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,0.498060469868747,0.47233631840798,0.49238400322355,0.487927667871831,0.458243031147922,0.478721868835763,0.489662447290122,0.491334237566904,0.457893181153606,0.489981616927424,0.488293479424248,0.473905723319545,0.458494901327383,0.471042374645584,0.490596136462305,0.474893728915385,0.47864091482065,0.486450194675253,0.471265930948512,0.505792501634692,0.470272587987654,0.474514302316882,0.472103905596907,0.506365418488667,0.482335169243663,0.480735310168445,0.484803334897688,0.512415930185948,0.481011696943506,0.470927397421468,0.500240970903948,0.488416718345273,0.502413027079315,0.506091002151978,0.497309766585238,0.500051420818246
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS,0.246325646742886,0.293927751054068,0.248263001787173,0.25686743765505,0.24596807003234,0.262806410493585,0.251962751970929,0.270459824268095,0.290456599467629,0.219012716674351,0.25157801918557,0.253660989143499,0.282013968494848,0.293701908177716,0.251285730611354,0.241940793834143,0.284895081253699,0.292769865114361,0.251859670439994,0.287810635215453,0.257096125834742,0.234862057506849,0.237357927141059,0.271531292888754,0.252626215612541,0.24177427902296,0.251538396783567,0.274445875620532,0.242562551088113,0.252001092275983,0.23778073140085,0.252998659030939,0.244885991766335,0.273084739873113,0.245847427100556,0.283785686789313
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION,0.445522313070816,0.452440497962416,0.433809078781045,0.441935642674207,0.443206356378337,0.453485508896124,0.431685669163386,0.452241809940156,0.466309101980499,0.45339767876646,0.442761704096934,0.445731901274821,0.43518155681324,0.440431828706386,0.452934850389566,0.454883797804021,0.449912889150393,0.434417089752139,0.439852162229256,0.432850102365895,0.447869203028622,0.438920532384434,0.430290844003812,0.440052683202612,0.436839317459502,0.442641580895784,0.442820204958433,0.449175579448628,0.434088740564961,0.461286507338251,0.442006938131619,0.44925319768874,0.440915097462286,0.43992226064171,0.430437861733134,0.454456690670179
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,0.321549855090412,0.334488770376041,0.319036097111409,0.321842090518862,0.324303948989828,0.392905153775123,0.322047307336602,0.332106319930296,0.336999728494015,0.335014807922953,0.342481717836949,0.322131316721263,0.321172832195558,0.324407662148879,0.349820279934166,0.331202637333027,0.330671173920579,0.316181118230892,0.347425766860203,0.319493147112957,0.360266431543702,0.329585158610461,0.321517115469711,0.320232233438474,0.318217771945575,0.337478920644162,0.321047372554455,0.305941614118953,0.322370219850047,0.346262899710452,0.327645454579999,0.340156224522893,0.325543595361938,0.325998867712596,0.324671438165345,0.32530854019135
GOBP_4FE_4S_CLUSTER_ASSEMBLY,0.459879292226552,0.477113835926628,0.465387733607216,0.467251565914224,0.460452910857286,0.489163844202636,0.512778531179421,0.465053281056418,0.467042669187332,0.44581579513965,0.472916971943352,0.514203186658877,0.50497149355584,0.498837562876012,0.473444688909455,0.438987784391853,0.491083575093334,0.465229092985567,0.47026060374485,0.517432900346392,0.454645437352046,0.46495217705592,0.461270334892593,0.457469549294798,0.481784914992027,0.482849505235797,0.430268175499886,0.452511397926998,0.478768544187131,0.429316972242881,0.442176264718656,0.466100075972431,0.463732381551429,0.474970279124861,0.476138902322107,0.457324172979845
GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS,0.438766693850657,0.45744689797463,0.46016477024242,0.427924014020997,0.433643606052415,0.420362072029937,0.435711078498458,0.481973569866419,0.413176529951205,0.418712750747503,0.433817387830406,0.457645703200731,0.433437135437841,0.505315829136159,0.441667091077361,0.427783527023992,0.423034522566637,0.466559702561478,0.450780523345564,0.452889586692763,0.387226195978802,0.450987092155154,0.465568872638592,0.453206245527083,0.467853196218823,0.356914998083462,0.43876353896448,0.437127187431233,0.449750309821618,0.399696152515359,0.395314242459233,0.458556966971845,0.487975262928101,0.480802809707069,0.448823939743129,0.469404165372628
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III,0.536615391626038,0.521896235583908,0.510516549687965,0.519649534954027,0.545516278665852,0.535632595344848,0.497057971785904,0.534833045890816,0.488820191139187,0.547953689122859,0.530618608891702,0.537722934133977,0.525053933117238,0.516589232608429,0.525266037439512,0.562988819618255,0.529900126295407,0.528941711524648,0.517546294333239,0.513685189320682,0.556064497877604,0.52482315355436,0.542595999420458,0.523162196748264,0.513246868366349,0.569833743615291,0.546214913768802,0.512066837019243,0.535808727437715,0.555040996347189,0.539224668048044,0.55216949734342,0.532539647717972,0.521591325661846,0.549548934453541,0.536959865167746
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS,0.474901299238837,0.425097806910055,0.431928998269333,0.401627389724774,0.435946874601219,0.48595997055325,0.479852010691593,0.470957285418313,0.423499867340761,0.460504727362997,0.460227370743955,0.431284173741729,0.43813391734122,0.423399267194945,0.479714770491416,0.434709134375406,0.424116409879715,0.399504242999014,0.446711778194031,0.411464931997956,0.477645011123883,0.47248958483381,0.436321267083732,0.427087468951023,0.454208693284903,0.399265215769925,0.39490281931373,0.388849493594397,0.447337884765281,0.472882753410038,0.418977044297824,0.451318533581111,0.450388200176001,0.425618009320395,0.450518654700652,0.454527590842436
