Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	P153537	P154325	P158276	P158785	P160971	P165114	P165970	P170055	P172017	P174092	P176973	P179186	P179980	P182545	P184521	P149774	P149985	P153403	P155534	P157632	P158665	P160100	P161515	P161809	P161865	P164398	P164921	P169026	P170008	P170561	P172390	P172496	P177793	P181568	P184022	P186330	
Amplification Peak  1	3q27.1  	chr3:183848368-183986317(probes 66160:66174)    	chr3:183858337-183976378(probes 66161:66173)    	chr3:182948870-184941039(probes 66075:66271)    	0.083085	   0.083085		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	1	0	1	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	
Amplification Peak  2	4q12    	chr4:54967919-56235096(probes 72419:72463)        	chr4:54968129-56225691(probes 72420:72462)        	chr4:49504502-62477351(probes 72228:72646)        	7.4126e-08	 2.8548e-05		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	2	2	1	0	0	0	1	0	2	1	0	2	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	
Amplification Peak  3	4q12    	chr4:56301816-57311459(probes 72472:72573)        	chr4:56308661-56759680(probes 72473:72519)        	chr4:49504502-62477351(probes 72228:72646)        	3.2644e-06	    0.10102		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	2	2	1	1	0	0	0	1	0	2	1	0	2	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	
Amplification Peak  4	7q22.1  	chr7:100624523-100686771(probes 127730:127742)  	chr7:100633854-100686131(probes 127731:127741)  	chr7:100491688-100720856(probes 127721:127748)  	0.0056275	  0.0056275		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	0	0	1	0	0	2	1	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	
Amplification Peak  5	8q24.21 	chr8:128088997-131102229(probes 145253:145518)  	chr8:128098814-131092241(probes 145254:145517)  	chr8:128098814-131122206(probes 145254:145520)  	0.11831	    0.11831		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	0	1	1	1	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Amplification Peak  6	12p11.21	chr12:31270811-31658602(probes 188388:188427)    	chr12:31279414-31648728(probes 188389:188426)    	chr12:31279414-32378850(probes 188389:188482)    	0.10802	    0.10802		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	2	2	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Amplification Peak  7	14q32.33	chr14:106494493-107349540(probes 215777:215858)	chr14:106494650-107049166(probes 215778:215832)	chr14:106405633-107349540(probes 215764:215858)	0.0002821	  0.0002821		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	
Amplification Peak  8	15q26.3 	chr15:86303128-102531392(probes 222420:223929)  	chr15:101929859-102211875(probes 223868:223897)	chr15:100604021-102531392(probes 223737:223929)	0.06289	    0.06289		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	0	1	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	
Amplification Peak  9	19p13.2 	chr19:11678134-12747056(probes 247476:247583)    	chr19:12693704-12739863(probes 247577:247582)    	chr19:11688044-12769007(probes 247477:247588)    	0.0004576	  0.0004576		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	0	0	2	2	0	2	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	1	2	0	2	0	0	0	2	0	1	1	
Amplification Peak 10	19p13.11	chr19:19822529-29704001(probes 248297:248736)    	chr19:19825242-19843651(probes 248298:248298)    	chr19:19790179-30018205(probes 248294:248738)    	1.286e-13	  1.286e-13		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	0	0	0	2	2	0	2	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	2	0	2	0	0	0	2	0	1	1	
Deletion Peak  1	1q21.3  	chr1:152009388-152819815(probes 15141:15226)    	chr1:152057387-152790197(probes 15149:15222)    	chr1:152060488-153042592(probes 15150:15249)    	0.034093	  0.034093		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
Deletion Peak  2	2q11.2  	chr2:97741799-98271411(probes 34405:34463)        	chr2:97749655-97940537(probes 34406:34424)        	chr2:97784077-98195536(probes 34409:34453)        	0.092334	  0.092334		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
