,P149774,P149985,P153403,P153537,P154325,P155534,P157632,P158276,P158665,P158785,P160100,P160971,P161515,P161809,P161865,P165970,P164921,P164398,P165114,P169026,P170008,P170055,P172017,P172390,P172496,P174092,P176973,P177793,P186330,P182545,P179186,P179980,P181568,P170561,P184521,P184022
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,0.351213496280533,0.34246738803902,0.362783713757916,0.438034106156711,0.419953753983832,0.386476608949067,0.383728151034174,0.401668750557556,0.342701577506472,0.370455204504814,0.404755780454965,0.414699301374947,0.373152879335539,0.405542792471586,0.426966218297193,0.370126575633343,0.378084113271486,0.431116577464185,0.422569099669698,0.371478486312706,0.385284414117155,0.391465643742302,0.407954730782141,0.380873908879506,0.436198420924862,0.407955003202345,0.419299704216332,0.323337670154527,0.3650028857478,0.366459745637032,0.412567036655818,0.397707600089335,0.397391523072309,0.407009686712483,0.428045033372131,0.360093859266809
KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,0.309725193058108,0.405465238005333,0.267573351724946,0.322560122109478,0.24989933903574,0.352369582306485,0.319049215358746,0.401804795436145,0.385629637988394,0.340124595771883,0.361398816068753,0.30569416363735,0.351406011826948,0.452901513496237,0.363683627449836,0.248574328854112,0.352673236434127,0.360070424425697,0.350426020588292,0.368820662620303,0.213909943530712,0.376802610133157,0.327565352416224,0.370377806943379,0.393236601321947,0.206909645055285,0.259457857597507,0.356240665180305,0.392732519342884,0.263843898468566,0.292877235617239,0.333287450663934,0.38837581374254,0.388795547315686,0.342953299060301,0.368085158804339
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,0.398124578918859,0.442730893907988,0.428191661129941,0.466247840922119,0.387106687782022,0.437096331405923,0.43916053525731,0.41437159869727,0.505035212484656,0.391941589856196,0.455648380908091,0.402813253657598,0.396608025639625,0.458002204897515,0.46408299945924,0.42725155179455,0.395910681405472,0.472562108214279,0.491156374071618,0.424819569963696,0.408338048821637,0.47284013108377,0.387227144024239,0.444031709109566,0.500025027586906,0.367523307427505,0.406585912933762,0.498448578366672,0.460298068778158,0.355662067781527,0.337291828790344,0.468209563618317,0.380180044957542,0.406244391254813,0.46158452205967,0.439036423169277
KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,0.400544929520466,0.340683548623573,0.419298748663995,0.368670025539016,0.405041803903904,0.443893680810372,0.346267837042735,0.349076529358434,0.282599520764842,0.378733857523037,0.377942877233463,0.38927649441034,0.42362180805175,0.375849569358775,0.429322132416728,0.346484762684528,0.381829813999898,0.371588192516361,0.402566508287484,0.335103358379928,0.393889122639691,0.381583921932588,0.384419686025464,0.429499730253603,0.386041062041541,0.352175959474015,0.409276829131275,0.43082043458945,0.280461972320547,0.344466955507586,0.332888641720074,0.35242394777994,0.440261603304423,0.39365359448327,0.362248505349478,0.411794844480815
KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY,0.593659405254637,0.596483366776893,0.622851825490291,0.577025087475254,0.608040856826034,0.607397324062299,0.594330744131704,0.59900469619675,0.5806404709018,0.59309761921106,0.607454841397729,0.577292482347879,0.593332986367352,0.60288192591746,0.59480716773732,0.56806818638188,0.636162693750052,0.588299343489081,0.570496320227324,0.586406198077742,0.609746494730168,0.59171191758993,0.594213573899112,0.590941710934527,0.574249717298978,0.574795262610246,0.584473332674366,0.587964081791677,0.602775794584403,0.616434026812578,0.595659047787083,0.571841006280527,0.59969949129391,0.581275321069974,0.572557088905847,0.592751910686015
KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT,0.529715098891372,0.522905012295595,0.533490407978274,0.535919688882758,0.549646800710513,0.520849948198915,0.534713563019704,0.511038740148518,0.511203130198084,0.549683419579676,0.548266290679599,0.52188802552487,0.528002893591577,0.512710678102771,0.532726678119692,0.528472647736781,0.49212956478974,0.499947102159935,0.519490243205392,0.520146666481802,0.520019067424611,0.561509369685363,0.514146072517293,0.520693864883671,0.524744060901656,0.524427889255248,0.511988463992421,0.510017925202537,0.493238332541019,0.518974186282138,0.577400735480858,0.521826109844664,0.522976654466333,0.500469303029981,0.534444641945017,0.505877269204425
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY,0.63725074390734,0.630489492383212,0.628719376597858,0.630543328174532,0.61258393723874,0.607177051970033,0.656414536774871,0.636855408952614,0.634092421581257,0.604001119324431,0.620341257350529,0.596958907443827,0.63282525732817,0.614828164374125,0.628484975702448,0.614055796732118,0.630538153376604,0.621809926695124,0.610709865462442,0.648024326355245,0.627962297323115,0.627057290584749,0.573104420354339,0.628521339864694,0.635340990556877,0.60430027594906,0.628336414074419,0.642598751432216,0.608223329141227,0.602192044387361,0.652831387137241,0.642343286838688,0.639672992896568,0.654822789924572,0.621898980619242,0.647445825863746
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY,0.486604644441248,0.587669081994771,0.495408712571417,0.49516441912378,0.416729921587018,0.512487890528745,0.507569612404474,0.543524216428831,0.541965475162351,0.477795878338842,0.483521223869971,0.472268971790839,0.500259026035113,0.634363081474167,0.525011615165507,0.388129836530325,0.517723920966366,0.463447696088852,0.547299260368298,0.54406625062726,0.404967787309186,0.510441544390153,0.506151249606917,0.489209443351391,0.600104167184194,0.351087371687332,0.441927293131695,0.538604204769288,0.568850714780205,0.407771273252722,0.422846266877443,0.478338683391334,0.530162689086656,0.578481249417389,0.468713974924121,0.517091014544081
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY,0.601038290077473,0.614297680143743,0.58833127230599,0.567515683033973,0.604717036578703,0.590047553136754,0.603881466251073,0.583378593362885,0.576435243156125,0.583312921220274,0.594396502639219,0.583970777775209,0.58045495431233,0.586746469282015,0.596874240973233,0.598433373087529,0.596022555026884,0.59713974285116,0.582899010388523,0.586348830878792,0.599241978115857,0.591476060030546,0.571745082956247,0.588368640760883,0.582740971437271,0.609193488689973,0.611432536397052,0.581336716207296,0.62543261748903,0.617826181339051,0.597962445229607,0.604422145710618,0.614326488631402,0.596546010334511,0.612020613614069,0.607306394606445
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY,0.69092865319635,0.690122243670218,0.683762978294334,0.683257991565763,0.695487714143909,0.690768724790234,0.692111518871804,0.686939795828581,0.677000651029969,0.696247720134111,0.690938557319147,0.679823356429454,0.680967508466156,0.681891387571972,0.689134275428407,0.678899276387901,0.687402264659281,0.685334686632776,0.677369112774845,0.677287828166191,0.704322702704334,0.694158104025132,0.694566323588395,0.690496168958808,0.681480500602671,0.667897400185221,0.685203751412187,0.68306486272833,0.671686632257711,0.701133709841912,0.699155948148096,0.679659722868142,0.69154095529665,0.686722061846745,0.683950997266929,0.697754602233787
KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY,0.615730802913369,0.603530627939912,0.616434969071253,0.590164383076046,0.604622654274478,0.593038799718485,0.615890866049969,0.605448498338298,0.594453899165649,0.593354778788355,0.606133338387273,0.590899483410519,0.604482543221805,0.60998062333876,0.609928238221115,0.568415144613863,0.623118591135818,0.609982279371276,0.580981227365531,0.610931430116944,0.613208304178062,0.624990063317009,0.577425240756586,0.601042260976357,0.614867254637379,0.571724937864903,0.609638675624349,0.609127091230942,0.619690577584214,0.616401588022293,0.621842389367832,0.615162003817721,0.615128857231913,0.624642498325415,0.609284286453404,0.617509593853045
KEGG_MEDICUS_ENV_FACTOR_NICOTINE_TO_JAK_STAT_SIGNALING_PATHWAY,0.618726489569477,0.52268948975424,0.559791598447774,0.538155562518449,0.548879964219899,0.513265199012688,0.558730924878254,0.557998248055792,0.49782555500805,0.614826816096654,0.545870945895214,0.54103871709117,0.510639696255897,0.468123229214709,0.561995404525466,0.617276563555041,0.499541866503552,0.516061802682076,0.555990015229851,0.532848183754359,0.582196075595671,0.583511164664047,0.574756971229405,0.566581395681575,0.540556178394209,0.595941163475716,0.540021185592849,0.562648725538494,0.37112579981342,0.579974866974798,0.662928874443751,0.575760163081706,0.527479704993027,0.563250510555,0.63902266730888,0.60584635313214
