,P149774,P149985,P153403,P153537,P154325,P155534,P157632,P158276,P158665,P158785,P160100,P160971,P161515,P161809,P161865,P165970,P164921,P164398,P165114,P169026,P170008,P170055,P172017,P172390,P172496,P174092,P176973,P177793,P186330,P182545,P179186,P179980,P181568,P170561,P184521,P184022
REACTOME_2_LTR_CIRCLE_FORMATION,0.447107286675342,0.443877548420616,0.434062450910929,0.446743732461928,0.445303708429479,0.449878479355047,0.445844430933451,0.442516058907278,0.444572599504697,0.459856702557186,0.439326487173066,0.442170024349328,0.437402277850385,0.437073398670524,0.452554939355161,0.446484120916293,0.44557470340171,0.440720340277133,0.434253339589291,0.43723917493952,0.451942339965908,0.445473833681757,0.437042434877634,0.449505333604236,0.438272337871173,0.4475454588824,0.435145975393025,0.434214243330385,0.4136014361119,0.458954120759407,0.450015316893101,0.43896069695584,0.43082647911285,0.450492846692318,0.435965816612344,0.446728823703322
REACTOME_ABACAVIR_ADME,0.180426387839802,0.203439734500864,0.198251238067562,0.180264537602455,0.219749771615982,0.18721749118111,0.212322722607236,0.195171987363074,0.188494322429258,0.169969827121504,0.198300216435546,0.188557500994479,0.203400941620744,0.211352993877453,0.209413839909919,0.209249801956338,0.214767999107236,0.179329343546694,0.160651035320962,0.194178906924042,0.189518572045686,0.148965356800525,0.169161659993143,0.171217832867693,0.21118305128784,0.126660434900294,0.207056050984805,0.178547374183615,0.117553047930487,0.184267367425733,0.192208618681016,0.221816384089526,0.1720627467413,0.1972408831826,0.150115032039328,0.182962841490103
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,0.202659351506069,0.216798752699319,0.215406477043197,0.233503156860669,0.249133788084542,0.266527599480173,0.210449554877875,0.224962809480419,0.207384042582942,0.177100014592232,0.206870230013496,0.19933116128344,0.233841847842695,0.248485904307484,0.236195281588578,0.230664048385795,0.241152071788329,0.210433029210194,0.176934349294715,0.285879632469326,0.190242770896657,0.213508506399616,0.188711439281299,0.250281263647699,0.244344349826315,0.0982276803397178,0.232743904281445,0.267287905409402,0.151197015186543,0.199840726982674,0.196307461662194,0.253587061167063,0.238680204754982,0.282997627734684,0.211446467585449,0.239730926314208
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.352785935248888,0.359934957215559,0.344099803451151,0.341866697702074,0.356627073130589,0.359856176777349,0.334256620852492,0.354462012710103,0.355862869030168,0.354782772764929,0.352573511295309,0.348832587335465,0.36066509752371,0.363468100704515,0.35600355274438,0.348830112814784,0.366319794139428,0.359863454261983,0.347190354157851,0.352064682417613,0.351910583942198,0.353084057165162,0.347482117114295,0.351769085336123,0.345377886973975,0.338622120088058,0.347476582900904,0.345111087306871,0.362045195200482,0.3556959855971,0.348499501331904,0.342881877161504,0.354993686363538,0.359146840394049,0.346748030333116,0.351550335895502
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.247144654786262,0.250115603834629,0.228430560062459,0.256198201086888,0.254827495965477,0.249775836387643,0.231179401358192,0.251393388932478,0.267148778594475,0.235734325019571,0.2486370241519,0.240097545595981,0.278965086668463,0.253572052798808,0.246649900702965,0.259543197785844,0.271376001305303,0.24671635187422,0.239347319683062,0.270203541233216,0.242405317528692,0.252669174067793,0.230004289508635,0.257411630787909,0.242245694509536,0.225386461100745,0.244582731271931,0.252572511722091,0.236928372942807,0.243253452860407,0.232122585714981,0.219553645072595,0.238417937000799,0.261462447988917,0.23579061300786,0.250975226213702
REACTOME_ABC_TRANSPORTER_DISORDERS,0.373124115184736,0.37825067104211,0.375031182554365,0.36572373366042,0.371619451763232,0.381183489106576,0.36307922567847,0.376791842969676,0.373883917895611,0.381619218195473,0.375000421077771,0.374854643181271,0.378682634426061,0.382047550261148,0.379129474994345,0.36493188426945,0.386742558189691,0.378051756795481,0.368765399018056,0.374096449549412,0.37316249991785,0.373682273244948,0.368900906986143,0.370846596190356,0.368707203760118,0.362483475386329,0.365033367867619,0.368625802944504,0.382604002557719,0.377029420228474,0.373229041093467,0.368049022958993,0.374231172869992,0.382071563409604,0.372503343343314,0.372890558768448
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.399880450161612,0.396941653199744,0.404338810319468,0.417825579462742,0.400968530198072,0.402561010388032,0.404023826762888,0.406302253695508,0.397731520429815,0.408286373253137,0.40283400089746,0.41144764893294,0.404683881371584,0.384721300931293,0.405293241909828,0.404410096954614,0.398357947043742,0.401578358000006,0.403244991715777,0.396833406867515,0.411799262170715,0.404145349205118,0.405705999765921,0.399948450179139,0.394356499827654,0.413171455597544,0.397018543671987,0.39777711452667,0.400368438576944,0.4002727690399,0.415026796077408,0.400547800184337,0.390329136598009,0.40655447938101,0.40342118276587,0.406149158585439
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.388582459921622,0.36280837057055,0.402676967464947,0.393219132120045,0.390626894239632,0.38200455592943,0.382086934379373,0.376526747877841,0.375156003180931,0.415798803801325,0.38485214621319,0.396804525949994,0.390495954375743,0.358177859314935,0.388583651618342,0.392725159899152,0.379535019891876,0.383922526549507,0.37945972645477,0.363754952580193,0.412197953535497,0.407831190247388,0.385142292797486,0.381240372529005,0.376995222528735,0.4294281792702,0.396159853866113,0.376001103419351,0.388299454169906,0.407393706036655,0.410989524956766,0.402534603518611,0.370461557311882,0.379950623094477,0.39800786016234,0.390174951526035
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.446218299711777,0.435659602793099,0.445750732387902,0.45093462470145,0.448808499526117,0.446629567372754,0.447270829836152,0.450287364282705,0.435444445632003,0.450478196038344,0.44827216223262,0.457238309672377,0.452077603102906,0.447033486024612,0.439093958919945,0.450409685876361,0.440177949617827,0.445987663583579,0.446898878865054,0.443624764302428,0.454165481617714,0.446673370480953,0.451671963580266,0.440651411621358,0.447621274723677,0.46103536104813,0.449070345084244,0.442582329781827,0.445621823297794,0.442932651819835,0.447834364750496,0.456522549803764,0.447902473563351,0.444124585531355,0.458270254203113,0.441279705435315
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.0554786143839164,0.040473621686609,0.105679938918045,0.0327682697694149,0.0194550430884419,0.0509286686043769,-0.0113831946364356,0.0625257622674301,0.0683236212264305,0.0567596680646321,0.127136352413105,0.0294268618055511,0.0637002197011092,0.0817556508813732,0.0592096226640437,0.0957628062365999,0.11149126190521,0.0789606478826411,0.1011636740501,0.0779789447847396,0.0489890661249734,0.114454601867149,0.133366652611846,0.0592331792896714,0.0146093669327877,0.149252078422234,0.0640736104626292,0.0386526738176892,0.096636607269398,0.0887316333775203,0.119716146775085,0.0580033705032101,0.017973705921184,0.0306888055994566,0.0857604065287291,0.0581904854627472
